Player,Pos,Age,Tm,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
Damian Lillard\lillada01,PG,26,POR,3.9,10.7,8.2,16.8,9,10,0.8,5.9,6.8,8.1,1.3,0.4,3.6,2.8,37.3,118,113,23.9,0.594,0.436,0.351,2.2,11.6,7,31,1.3,0.9,12.5,29.5
Jeremy Lin\linje01,PG,28,BRK,3.1,8.4,6.3,13.1,6.2,7.6,0.6,6.7,7.2,9.9,2.3,0.8,4.6,4.2,28.1,109,109,16.3,0.597,0.167,0.583,0,0,0,27.6,0,0,16.6,31.1
Shaun Livingston\livinsh01,PG,31,GSW,0,0.1,6.2,11.2,1.5,2.1,1,4.4,5.4,5,1.4,0.7,2.2,4.3,13.9,110,108,11.1,0.53,0.01,0.179,4.1,8.2,6.3,16.6,1.3,1.7,14.2,16
Brook Lopez\lopezbr01,C,28,BRK,2.9,8.3,9,16.7,6.3,7.8,2.6,6,8.6,3.8,0.8,2.6,3.9,4.1,32.8,108,111,15.5,0.531,0.419,0.204,5.3,14.2,9.7,11.3,1,5.4,12.3,25.5
Robin Lopez\lopezro01,C,28,CHI,0,0,8.5,17.1,1.7,2.3,5.4,6.1,11.5,1.8,0.4,2.6,2,3.3,18.6,108,108,14.8,0.55,0.013,0.139,8.3,10.1,9.2,12.2,0.4,2.6,13.3,20.6
Kevin Love\loveke01,PF,28,CLE,3.8,10.3,6,12.7,6.8,7.8,3.9,13.7,17.6,3.1,1.4,0.6,3.2,3.3,30.2,114,107,22.9,0.613,0.433,0.369,7.8,29.2,18.7,9.5,1.2,1.3,9.3,25.5
Kyle Lowry\lowryky01,PG,30,TOR,4.4,10.6,5.3,10.2,6.8,8.2,1.1,5.4,6.5,9.4,2,0.4,3.9,3.8,30.4,123,109,19,0.584,0.596,0.29,3.1,16.9,10.1,29.1,1.8,0.4,15.3,22.3
Timothe Luwawu-Cabarrot\luwawti01,SF,21,PHI,2,6.6,3.9,8.2,4.3,5,1,5.1,6.1,3.1,1.3,0.4,3,6.3,18.2,100,111,7.6,0.519,0.59,0.225,2.1,7.7,5,9.7,0.8,0.6,11.6,17.5
Trey Lyles\lylestr01,PF,21,UTA,2.9,9.2,4.3,10.6,2.6,3.6,2.2,8.5,10.6,3.1,1.2,0.9,2.9,4.4,19.9,94,106,18.5,0.607,0.413,0.273,4.7,23.6,14.1,9,1.1,1.9,9.3,20.6
Shelvin Mack\macksh01,PG,26,UTA,1.6,5.2,5.8,11.4,2.3,3.4,0.9,4.6,5.4,6.7,1.8,0.1,3.9,4.4,18.7,99,107,13.7,0.53,0.295,0.37,1.9,11.4,6.6,29.5,1.6,0.5,15.4,14
Ian Mahinmi\mahinia01,C,30,WAS,0,0,5.8,9.9,3.8,6.7,4.2,9.1,13.3,1.7,2.9,2.1,3,8,15.4,110,104,11.4,0.618,0,0.587,12.3,16.5,14.5,7.1,1.6,3.2,26.8,13.6
Thon Maker\makerth01,C,19,MIL,2.5,6.7,5,9.7,2.9,4.4,3.6,6.7,10.3,2.1,0.9,2.3,1.5,7.6,20.4,114,110,9.5,0.482,0.329,0.319,7,15.9,11.4,4.9,1.6,4.2,12.3,13.9
Jarell Martin\martija01,PF,22,MEM,0.8,2.3,4.6,11.7,3.7,4.7,3.9,11.2,15.1,0.7,1.6,0.8,2.6,8.5,15.4,96,105,10.9,0.523,0.184,0.202,7.8,13.9,10.9,5.2,1.5,3.4,13.9,16.3
